GBR_NAME,LABEL_ID,X_COORD,Y_COORD
U/N Reef,11-233,143.59017944,-11.85692501
U/N Reef,11-234,143.67663574,-11.82536602
U/N Reef,11-235,143.82466125,-11.88319683
U/N Reef,11-236,143.83390808,-11.89749241
U/N Cay,11-237a,143.64431763,-11.88405132
Ashmore Banks (No 1),11-237a,143.62936401,-11.88521671
U/N Cay,11-237b,143.6778717,-11.88714886
Ashmore Banks (No 2),11-237b,143.70982361,-11.88003635
U/N Cay,11-237c,143.69102478,-11.9247303
Ashmore Banks (No 3),11-237c,143.68823242,-11.92658424
U/N Reef,11-238,143.85302734,-11.92699146
Star Reef,11-239,143.86808777,-11.95340919
Yule Detached Reef,11-240,143.98838806,-11.94892406
Job Reef,11-241,143.8841095,-11.97967243
U/N Reef,11-242,143.90460205,-11.99356556
Nomad Reef,12-007,143.37467957,-12.14226151
Tyrrel Reefs,12-008,143.10850525,-12.19167805
Pickard Reef,12-009,143.13264465,-12.23193836
Kay Reef,12-010,143.28630066,-12.23149204
U/N Cay,12-010a,143.30244446,-12.23364925
U/N Cay,12-010b,143.30456543,-12.23687553
U/N Cay,12-010c,143.30458069,-12.23878002
Beesley-Baird Reef,12-011,143.20640564,-12.24257278
U/N Reef,11-265,143.77719116,-11.50680161
U/N Reef,11-266,143.77746582,-11.81314087
U/N Reef,11-267,143.78218079,-11.81055164
U/N Reef,11-268,143.78488159,-11.82562923
U/N Reef,11-269,143.80137634,-11.4184618
U/N Reef,11-270,143.80509949,-11.3738451
U/N Reef,11-271,143.8102417,-11.19155407
U/N Reef,11-272,143.82575989,-11.84532642
U/N Reef,11-273,143.83477783,-11.91727066
U/N Reef,11-274,143.85011292,-11.52565765
U/N Reef,11-275,143.85502625,-11.28789425
U/N Reef,11-276,143.87446594,-11.73007488
U/N Reef,11-277,143.87625122,-11.18171787
U/N Reef,11-278,143.88478088,-11.70553684
U/N Reef,11-279,143.88734436,-11.73625851
U/N Reef,11-280,143.88977051,-11.75453568
U/N Reef,11-281,143.88981628,-11.63206291
U/N Reef,11-282,143.89093018,-11.52201843
U/N Reef,11-283,143.89356995,-11.63201046
U/N Reef,11-284,143.89526367,-11.57481194
U/N Reef,11-285,143.89628601,-11.59813881
U/N Reef,11-286,143.90386963,-11.59711838
U/N Reef,11-287,143.96366882,-11.57501984
U/N Reef,11-289,143.98202515,-11.3779211
U/N Reef,11-290,143.98338318,-11.47064018
U/N Reef,11-291,143.98829651,-11.32894707
U/N Reef,11-292,143.98873901,-11.34938812
U/N Reef,11-293,143.99067688,-11.37061596
U/N Reef,11-294,143.99145508,-11.35557175
U/N Reef,11-295,143.9959259,-11.32307911
U/N Reef,11-296,143.99804688,-11.34479809
U/N Reef,11-297,144.00178528,-11.32290173
U/N Reef,11-298,144.00413513,-11.33131409
U/N Reef,11-299,144.00514221,-11.25225353
U/N Reef,11-300,144.00549316,-11.12182331
U/N Reef,11-301,144.01029968,-11.32775974
U/N Reef,11-302,144.01039124,-11.34258556
Great Detached Reef (No 6),11-244f,144.01324463,-11.76182079
U/N Reef,11-304,144.01356506,-11.31029129
U/N Reef,11-305,144.01531982,-11.25672531
U/N Reef,11-306,144.01565552,-11.30299282
U/N Reef,11-307,144.01635742,-11.3319273
U/N Reef,11-308,144.01760864,-11.28602219
U/N Reef,11-309,144.01947021,-11.3102417
Great Detached Reef (No 7),11-244g,144.02200317,-11.77238941
Great Detached Reef (No 8),11-244h,144.02709961,-11.7682209
